name,region,INKHUNDLA,AGENCY,Partner,category,cat_name,pct_rank_mean,derived_category,delta,confidence
Mayiwane,Hhohho,,,Baphalali Eswatini Red Cross,4,D3 Extreme Drought,0.0541,3,-1,4
Ndzingeni,Hhohho,,,Baphalali Eswatini Red Cross,3,D2 Severe Drought,0.1235,2,-1,4
Timphisini,Hhohho,,,Baphalali Eswatini Red Cross,4,D3 Extreme Drought,0.0542,3,-1,4
Kukhanyeni,Manzini,,,ADRA,2,D1 Moderate Drought,0.2266,1,-1,4
Mtfongwaneni,Manzini,,,ADRA,1,D0 Abnormally Dry,0.3017,0,-1,4
Lamgabhi,Manzini,,,ADRA,0,Wet/normal conditions,0.3252,0,0,5
Ntondozi,Manzini,,,ACAT,1,D0 Abnormally Dry,0.3497,0,-1,4
Nhlambeni,Manzini,,,ADRA,1,D0 Abnormally Dry,0.277,1,0,5
Mhlambanyatsi,Manzini,,,ACAT,2,D1 Moderate Drought,0.2554,1,-1,4
Mangcongco,Manzini,,,ACAT,2,D1 Moderate Drought,0.3097,0,-2,2
Mahlangatsha,Manzini,,,ACAT,0,Wet/normal conditions,0.401,0,0,5
Mafutseni,Manzini,,,ADRA,2,D1 Moderate Drought,0.251,1,-1,4
Gege,Shiselweni,,,Save the Children,0,Wet/normal conditions,0.4814,0,0,5
Hosea,Shiselweni,,,Baphalali Eswatini Red Cross,0,Wet/normal conditions,0.4296,0,0,5
Kubuta,Shiselweni,,,ACAT,1,D0 Abnormally Dry,0.3325,0,-1,4
Maseyisini,Shiselweni,,,Save the Children,0,Wet/normal conditions,0.4347,0,0,5
Ngudzeni,Shiselweni,,,ACAT,0,Wet/normal conditions,0.3462,0,0,5
Nkwene,Shiselweni,,,ACAT,0,Wet/normal conditions,0.3808,0,0,5
Sandleni,Shiselweni,,,Baphalali Eswatini Red Cross,0,Wet/normal conditions,0.4929,0,0,5
Sigwe,Shiselweni,,,Baphalali Eswatini Red Cross,0,Wet/normal conditions,0.3944,0,0,5
Zombodze Emuva,Shiselweni,,,ADRA,0,Wet/normal conditions,0.4912,0,0,5
Matsanjeni North,Lubombo,,,World Vision Eswatini,0,Wet/normal conditions,0.345,0,0,5
Nkilongo,Lubombo,,,Woman Farmer Foundation,2,D1 Moderate Drought,0.3324,0,-2,2
Lugongolweni,Lubombo,,,World Vision Eswatini,2,D1 Moderate Drought,0.2148,1,-1,4
Kumethula,Shiselweni,,,Nazarene Compassionate Ministries,0,Wet/normal conditions,0.4422,0,0,5
